Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-24-1924-01	0.0224155326000224	0	0.142100507133749	0.125210880504995	0	0.116707011998374	0.0125251222124506	0.157407335240737	0	0	0	0.0260875021190606	0.0457018647438799	0.0631230965249751	0.0718646349732604	0.160043761746952	0	0.0231676853797957	0	0	0	0.0336450648217487	0	0.370345743360617	0.928675300987963
TCGA-31-1946-01	0	0	0.113941795428958	0	0	0.196364711021764	0	0.157854127852008	4.1730893113412e-05	0	0.0526913494504975	0.0366367758515402	0.0832451260274676	0.0556301713329395	0.0552284978012535	0.181756328598262	0.0191969263164202	0.0165260017700761	0.0308864576556998	0	0	0	0	0.304353225760056	0.956029339170338
TCGA-29-1699-01	0.0618745697482758	0	0.0839752486008475	0	0	0.176116774149176	0	0.0612151171412273	0.0262795557937938	0	0.0345968032026678	0.0464839639399207	0.117820748961756	0.0533248877027852	0.0547682352768461	0.184494716673883	0	0.0755646716201525	0.0234847071886686	0	0	0	0	0.332278236533129	0.944314040737879
TCGA-61-2002-01	0	0.0382597541619458	0.108699673955396	0.0369957359837617	0	0.166134738603599	0	0.1541291591301	0.029540187297081	0	0.0293363893812887	0.0590453997079867	0.0629019185779422	0.0267890064872718	0.047340722174117	0.12197039176482	0.0523456349113295	0.0486961169695869	0	0	0	0.017815170893774	0	0.367274687024579	0.929916088255294
TCGA-24-2035-01	0.0955649468607698	0	0.0547876970573066	0.0694807549426512	0	0.152591564788107	0	0.0623227179487067	0.0254811020794063	0	0.0282788555767	0.0202491923564499	0.0702992706442362	0.032023691173228	0.059877145690132	0.226140074034266	0	0.00958360813933889	0.0522063840758626	0	0	0.0411129946328381	0	0.358171701768174	0.933511190370369
TCGA-09-1674-01	0	0	0.327592870106882	0.0547471480567356	0	0.272799134991694	0	0.0953807813258095	0.0102784915713226	0	0	0	0.103972068389932	0.13478850014358	0	0	0	0.000441005414043494	0	0	0	0	0.74	0.0330819106880752	1.06020998388488
TCGA-29-1710-01	0.0661641895823856	0	0.106649120034801	0.0809402087200525	0	0.123052035312994	0	0.0767895767422403	0.0925480606974241	0	0.0212728550268276	0.0551285303131211	0.0460074720156077	0.0224670112509565	0.0530413800722954	0.132391263007835	0.100177795541336	0.0127896199467051	0.0105808817354181	0	0	0	0	0.385087196394336	0.922172995198949
TCGA-24-1436-01	0.0362389084720704	0	0.106122943125145	0	0	0.147626798939835	0	0.137140915139219	0.0334571616252411	0	0.0517043664907497	0.0647331267079584	0.0746266113821906	0.0397007958507449	0.0458564781112172	0.179055387078902	0	0.0742892480017102	0	0	0	0.00944725907501751	0	0.273235543121719	0.969923408679239
TCGA-13-1497-01	0.0399931351016385	0	0.16602629319773	0.0557701333304868	0	0.160135079450432	0	0.112038785580572	0.00273651421676651	0	0.00534745500068062	0.047707274733443	0.0496820027663033	0.101698206055854	0.0540031859995291	0.141815199045108	0	0.0630467355214566	0	0	0	0	0	0.294106654786573	0.959879026231752
TCGA-24-2271-01	0.124956661562834	0	0.0835520888399226	0.0725624043712011	0	0.146127042336223	0	0.118083217594257	0.0538219421872028	0	0.00345386883467104	0.0364693978184918	0.0858669407897409	0.105118942368517	0.0441406974484848	0.0858748657396831	0	0.033737891154365	0	0.00623403895440616	0	0	0	0.328921686192206	0.946720503657718
